id,Title,Subject,download_link,sample_paper_id,Class,Exam_Type,language,Subscription_Type,board_type,year
MPBSE_34,Physics 2022,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/physics/mp-board-class-12-physics-e-217-2022.pdf,MPBSE_34,Class 12th,Board,Hindi,Basic,MPBSE,2022
MPBSE_35,Physics 2023,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Physics++2023+Set+B.pdf,MPBSE_35,Class 12th,Board,Hindi,Basic,MPBSE,2023
MPBSE_36,Physics 2024,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Class+12th+Physics+2024+Set+A.pdf,MPBSE_36,Class 12th,Board,Hindi,Basic,MPBSE,2024
MPBSE_37,Physics 2025,Physics,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/MP_BOARD_Physics_2025.pdf,MPBSE_37,Class 12th,Board,Hindi,Basic,MPBSE,2025
MPBSE_38,Biology 2016,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MadhyaPradesh/BIO-2016.pdf,MPBSE_38,Class 12th,Board,English,Basic,MPBSE,2016
MPBSE_39,Biology 2018,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/biology/mp-board-class-12-biology-i237-2018.pdf,MPBSE_39,Class 12th,Board,English,Basic,MPBSE,2018
MPBSE_40,Biology 2019,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/biology/+%E0%A4%9C%E0%A5%80%E0%A4%B5+%E0%A4%B5%E0%A4%BF%E0%A4%9C%E0%A5%8D%E0%A4%9E%E0%A4%BE%E0%A4%A8-2019+.pdf,MPBSE_40,Class 12th,Board,English,Basic,MPBSE,2019
MPBSE_41,Biology 2020,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/biology/mp-board-class-12-biology-e-824-2020.pdf,MPBSE_41,Class 12th,Board,English,Basic,MPBSE,2020
MPBSE_42,Biology 2021,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/biology/mp-board-class-12-biology-o-324-2021.pdf,MPBSE_42,Class 12th,Board,English,Basic,MPBSE,2021
MPBSE_43,Biology 2022,Biology,https://dm80t6147awlm.cloudfront.net/PreviousYearPapers/MP+Board/2021-2024/Biology+2022+E-231.pdf,MPBSE_43,Class 12th,Board,English,Basic,MPBSE,2022
